Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;1;1;0;1;1;0;0;NA;2023-04-24T00:00:10Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:00:20Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:00:30Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:00:50Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:01:00Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:01:30Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:01:40Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:02:30Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:03:00Z
car;1;1;0;1;1;0;0;NA;2023-04-24T00:05:00Z
car;1;1;1;0;0;1;1;1;2023-04-24T00:07:30Z
car;1;1;1;0;0;1;1;1;2023-04-24T00:15:00Z
